0:0~0:5,0,
0:5~0:10,0,
0:10~0:15,0,
0:15~0:20,0,
0:20~0:25,0,
0:25~0:30,0,
0:30~0:35,0,
0:35~0:40,0,
0:40~0:45,0,
0:45~0:50,0,
0:50~0:55,0,
0:55~0:60,0,
1:0~1:5,0,
1:5~1:10,0,
1:10~1:15,0,
1:15~1:20,0,
1:20~1:25,0,
1:25~1:30,0,
1:30~1:35,0,
1:35~1:40,0,
1:40~1:45,0,
1:45~1:50,0,
1:50~1:55,0,
1:55~1:60,0,
2:0~2:5,0,
2:5~2:10,0,
2:10~2:15,0,
2:15~2:20,0,
2:20~2:25,0,
2:25~2:30,0,
2:30~2:35,0,
2:35~2:40,0,
2:40~2:45,0,
2:45~2:50,0,
2:50~2:55,0,
2:55~2:60,0,
3:0~3:5,0,
3:5~3:10,0,
3:10~3:15,0,
3:15~3:20,0,
3:20~3:25,0,
3:25~3:30,0,
3:30~3:35,0,
3:35~3:40,0,
3:40~3:45,0,
3:45~3:50,0,
3:50~3:55,0,
3:55~3:60,0,
4:0~4:5,0,
4:5~4:10,0,
4:10~4:15,0,
4:15~4:20,0,
4:20~4:25,0,
4:25~4:30,0,
4:30~4:35,0,
4:35~4:40,0,
4:40~4:45,0,
4:45~4:50,0,
4:50~4:55,0,
4:55~4:60,0,
5:0~5:5,0,
5:5~5:10,0,
5:10~5:15,0,
5:15~5:20,0,
5:20~5:25,0,
5:25~5:30,0,
5:30~5:35,0,
5:35~5:40,0,
5:40~5:45,0,
5:45~5:50,0,
5:50~5:55,0,
5:55~5:60,0,
6:0~6:5,0,
6:5~6:10,0,
6:10~6:15,0,
6:15~6:20,0,
6:20~6:25,0,
6:25~6:30,0,
6:30~6:35,0,
6:35~6:40,0,
6:40~6:45,0,
6:45~6:50,0,
6:50~6:55,0,
6:55~6:60,0,
7:0~7:5,0,
7:5~7:10,0,
7:10~7:15,0,
7:15~7:20,0,
7:20~7:25,0,
7:25~7:30,0,
7:30~7:35,0,
7:35~7:40,0,
7:40~7:45,0,
7:45~7:50,0,
7:50~7:55,0,
7:55~7:60,0,
8:0~8:5,0,
8:5~8:10,0,
8:10~8:15,0,
8:15~8:20,0,
8:20~8:25,0,
8:25~8:30,0,
8:30~8:35,0,
8:35~8:40,0,
8:40~8:45,0,
8:45~8:50,0,
8:50~8:55,0,
8:55~8:60,0,
9:0~9:5,0,
9:5~9:10,0,
9:10~9:15,0,
9:15~9:20,0,
9:20~9:25,0,
9:25~9:30,0,
9:30~9:35,0,
9:35~9:40,0,
9:40~9:45,0,
9:45~9:50,0,
9:50~9:55,0,
9:55~9:60,0,
